"dbms","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CONSTRAINT_TYPE","REFERENCED_TABLE_SCHEMA","REFERENCED_TABLE_NAME","REFERENCED_COLUMN_NAME"
"mysql","bakkerij","bestellingen","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bakkerij","bestellingen","userid","2","int",NULL,"FOREIGN KEY","bakkerij","users","id"
"mysql","bakkerij","bestelregels","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bakkerij","bestelregels","bestellingid","2","int",NULL,"FOREIGN KEY","bakkerij","bestellingen","id"
"mysql","bakkerij","bestelregels","productid","3","int",NULL,"FOREIGN KEY","bakkerij","producten","id"
"mysql","bakkerij","producten","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bakkerij","users","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","admin","adminID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","admin","statusID","5","int",NULL,"FOREIGN KEY","bikerentalsystem","status","statusID"
"mysql","bikerentalsystem","bikes","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","bikes","model","2","int",NULL,"FOREIGN KEY","bikerentalsystem","models","ID"
"mysql","bikerentalsystem","bikes","status","4","int",NULL,"FOREIGN KEY","bikerentalsystem","bikes_status","ID"
"mysql","bikerentalsystem","bikes_status","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","bikes_type","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","bikes_type","bike","2","int",NULL,"FOREIGN KEY","bikerentalsystem","bikes","ID"
"mysql","bikerentalsystem","bikes_type","type","3","int",NULL,"FOREIGN KEY","bikerentalsystem","types","ID"
"mysql","bikerentalsystem","brands","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","models","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","models","brand","4","int",NULL,"FOREIGN KEY","bikerentalsystem","brands","ID"
"mysql","bikerentalsystem","reservations","reservationID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","reservations","bikeID","3","int",NULL,"FOREIGN KEY","bikerentalsystem","bikes","ID"
"mysql","bikerentalsystem","reservations","status","10","int",NULL,"FOREIGN KEY","bikerentalsystem","status","statusID"
"mysql","bikerentalsystem","reservations","userID","2","int",NULL,"FOREIGN KEY","bikerentalsystem","users","userID"
"mysql","bikerentalsystem","reservations","userID","2","int",NULL,"FOREIGN KEY","bikerentalsystem","users","userID"
"mysql","bikerentalsystem","status","statusID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","types","ID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","users","userID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bikerentalsystem","users","statusID","7","int",NULL,"FOREIGN KEY","bikerentalsystem","status","statusID"
"mysql","dbcnp","admininfo","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","dbcnp","tblcnp","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","dbcnp","tblorders","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","ecommerce","orderdetails","detailID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","ecommerce","orders","orderID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","ecommerce","payments","paymentID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","ecommerce","products","productID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","ecommerce","product_categories","categoryID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","ecommerce","users","userID","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","admin","adminid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","hms","admin","adminname","2","varchar","25","UNIQUE",NULL,NULL,NULL
"mysql","hms","appointment","appointmentid","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","bakkerij","bestellingen","datum","3","date",NULL,NULL,NULL,NULL,NULL
"mysql","bakkerij","bestelregels","aantal","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","bakkerij","producten","naam","2","varchar","255",NULL,NULL,NULL,NULL
"mysql","bakkerij","producten","prijs","3","int",NULL,NULL,NULL,NULL,NULL
"mysql","bakkerij","users","naam","2","varchar","255",NULL,NULL,NULL,NULL
"mysql","bakkerij","users","voornaam","3","varchar","255",NULL,NULL,NULL,NULL
"mysql","bakkerij","users","straat","4","varchar","255",NULL,NULL,NULL,NULL
"mysql","bakkerij","users","huisnummer","5","varchar","255",NULL,NULL,NULL,NULL
"mysql","bakkerij","users","postcode","6","int",NULL,NULL,NULL,NULL,NULL
"mysql","bakkerij","users","woonplaats","7","varchar","255",NULL,NULL,NULL,NULL
"mysql","bakkerij","users","emailadres","8","varchar","255",NULL,NULL,NULL,NULL
